Array1,Array2,Array3,Array4
109.18,109.5,61.8,109.5
106.33,106.5,62.31,106.5
100.81,100.5,59.41,100.5
110.62,110.5,62.16,110.5
114.83,114.5,61.8,114.5
114.1,114.5,61.66,114.5
111.03,111.5,59.58,111.5
108.8,109.5,56.47,109.5
106.33,106.5,57.28,106.5
112.63,112.5,57.82,112.5
101.56,101.5,58.88,101.5
112.39,112.5,55.86,112.5
116.87,116.5,59.42,116.5
111.79,111.5,56.12,111.5
109.54,109.5,58.33,109.5
111.69,111.5,59.25,111.5
105.16,105.5,61.22,105.5
113.65,113.5,65.28,113.5
110.57,110.5,65.39,110.5
107.16,107.5,61.45,107.5
98.61,98.5,58.83,98.5
102.41,101.5,66.01,101.5
95.63,95.5,63.67,95.5
116.2,116.5,59.97,116.5
93.86,93.5,62.85,93.5
95.81,95.5,59.67,95.5
93.77,93.5,60.18,93.5
94.4,94.5,57.33,94.5
92.22,92.5,64.31,92.5
94.77,94.5,62.83,94.5
101.54,101.5,60.46,101.5
92.68,92.5,58.31,92.5
91.59,91.5,58.96,91.5
94.69,94.5,63.67,94.5
93.95,93.5,65.77,93.5
91.69,91.5,63.07,91.5
93.69,93.5,57.93,93.5
106.98,106.5,63.58,106.5
91.57,91.5,58.84,91.5
96.19,96.5,57.87,96.5
95.15,95.5,58.33,95.5
94.12,94.5,58.08,94.5
97.66,97.5,58.97,97.5
95.73,95.5,60.47,95.5
92.66,92.5,60.27,92.5
103.12,105.5,63.11,105.5
94.97,94.5,60.85,94.5
97.4,97.5,57.77,97.5
114.81,114.5,59.2,114.5
94.34,94.5,60.63,94.5
105.43,105.5,59.54,105.5
92.68,92.5,61.49,92.5
94.05,95.5,62.5,95.5
92.83,92.5,62.88,92.5
107.71,107.5,63.22,107.5
117.6,117.5,56.98,117.5
116.18,116.5,58.08,116.5
113.51,113.5,56.53,113.5
112.49,112.5,56.26,112.5
111.48,111.5,61.06,111.5
110.26,110.5,57.81,110.5
105.96,105.5,58.7,105.5
93,93.5,63.11,93.5
97.7,97.5,59.86,97.5
99.91,100.5,60.04,100.5
92.87,92.5,64.09,92.5
96.08,96.5,62.01,96.5
95.41,95.5,64.04,95.5
95.79,95.5,64.75,95.5
101.07,101.5,63.41,101.5
110.72,110.5,58.62,110.5
98.14,98.5,65.57,98.5
97.09,97.5,61.78,97.5
96.2,96.5,61.76,96.5
98.03,98.5,63.06,98.5
96.67,96.5,62.89,96.5
100.21,100.5,65.23,100.5
116.99,116.5,62.12,116.5
113.53,113.5,59.19,113.5
115.95,115.5,59.71,115.5
110.99,111.5,57.4,111.5
115.59,115.5,59.06,115.5
109.12,109.5,61.59,109.5
115.53,115.5,63.95,115.5
117.18,117.5,62.66,117.5
116.32,116.5,62.64,116.5
116.15,117.5,62.89,117.5
105.86,106.5,58.29,106.5
106.76,106.5,56.65,106.5
113.68,113.5,59.96,113.5
107.33,107.5,65.04,107.5
114.42,114.5,65.42,114.5
110.99,110.5,60.71,110.5
112.49,112.5,64.5,112.5
111.44,111.5,65.19,111.5
112.94,112.5,59.81,112.5
105.38,105.5,57.33,105.5
110.51,110.5,64.63,110.5
111.15,111.5,63,111.5
111.51,112.5,60.31,112.5
111.4,111.5,58.76,111.5
100.82,100.5,64.76,100.5
100.75,100.5,65.11,100.5
112.93,112.5,58.08,112.5
111.93,110.5,56.94,110.5
109.66,109.5,57.72,109.5
105.92,106.5,58.55,106.5
107.82,107.5,63.15,107.5
95.93,96.5,63.97,96.5
97.96,97.5,64.53,97.5
101.02,101.5,61.04,101.5
100.92,100.5,63.7,100.5
98.45,98.5,64.65,98.5
100.33,100.5,61.13,100.5
109.73,109.5,60.25,109.5
98.67,97.5,63.13,97.5
111.56,111.5,63.9,111.5
97.9,97.5,66.11,97.5
99.73,98.5,65.79,98.5
100.91,100.5,67.39,100.5
98.83,98.5,66.07,98.5
101.03,101.5,65.93,101.5
113.43,113.5,63.64,113.5
99.93,100.5,62.42,100.5
112.83,112.5,63.68,112.5
